Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Nation
B Mavuta ,2018-2019,7,5,1,52,20,13.0,47,110.63,0,0,1,UAE
AK Perera ,2013-2019,6,4,0,52,31,13.0,83,62.65,0,0,0,ENG
N Pokana ,2017-2019,14,9,4,52,11,10.4,106,49.05,0,0,1,INDIA
Zahoor Khan ,2017-2019,17,13,4,52,16,5.77,77,67.53,0,0,3,WI
CS Cowdrey ,1985-1985,3,3,1,51,46,25.5,46,110.86,0,0,1,INDIA
D Dasgupta ,2001-2001,5,4,1,51,24,17.0,82,62.19,0,0,1,INDIA
AH Gray ,1985-1991,25,11,5,51,10,8.5,77,66.23,0,0,1,AUS
A Mithun ,2010-2011,5,3,0,51,24,17.0,55,92.72,0,0,0,INDIA
CA Pujara ,2013-2014,5,5,0,51,27,10.2,130,39.23,0,0,2,AUS
KW Richardson ,2013-2019,22,10,5,51,19,10.2,56,91.07,0,0,2,NL
BS Sandhu ,1982-1984,22,7,3,51,16,12.75,97,52.57,0,0,2,ZIM
DE Bollinger ,2009-2011,39,8,2,50,30,8.33,54,92.59,0,0,1,NZ
NE Clarke ,1996-1996,5,5,0,50,32,10.0,112,44.64,0,0,2,ENG
JG Heron ,1983-1983,6,6,0,50,18,8.33,163,30.67,0,0,1,PNG
PA Horne ,1987-1987,4,4,0,50,18,12.5,122,40.98,0,0,1,SCOT
J Lewis ,2005-2007,13,8,2,50,17,8.33,63,79.36,0,0,0,ENG
D Ravu ,2017-2019,8,7,3,50,38,12.5,79,63.29,0,0,2,CAN
IM Stanger ,1999-2006,5,5,0,50,27,10.0,150,33.33,0,0,0,INDIA
CT Tremlett ,2005-2011,15,11,4,50,19,7.14,89,56.17,0,0,1,ENG
Zeeshan Siddiqi ,2012-2014,2,2,0,50,43,25.0,111,45.04,0,0,0,WI
ST Banerjee ,1991-1992,6,5,3,49,25,24.5,42,116.66,0,0,0,INDIA
DB Close ,1972-1972,3,3,0,49,43,16.33,50,98.0,0,0,0,CAN
WW Daniel ,1978-1984,18,5,4,49,16,49.0,56,87.5,0,0,0,INDIA
DJ Gandhi ,1999-2000,3,3,0,49,30,16.33,97,50.51,0,0,0,KENYA
CK Hooper ,2007-2010,5,5,2,49,27,16.33,60,81.66,0,0,1,SL
Maninder Singh ,1983-1993,59,18,14,49,8,12.25,90,54.44,0,0,1,AUS
E Otieno ,2007-2014,26,17,7,49,11,4.9,136,36.02,0,0,5,NZ
D Ranatunga ,1990-1990,4,4,0,49,25,12.25,156,31.41,0,0,1,NL
BA Reid ,1986-1992,61,21,8,49,10,3.76,117,41.88,0,0,1,SL
GK Robertson ,1981-1989,10,6,0,49,17,8.16,48,102.08,0,0,1,BDESH
MMC Schewe ,1996-1996,5,4,1,49,20,16.33,68,72.05,0,0,0,ENG
KEA Upashantha ,1995-2001,12,8,1,49,15,7.0,86,56.97,0,0,0,AUS
Arafat Sunny ,2014-2015,16,11,7,48,15,12.0,92,52.17,0,0,1,PAK
GG Arnold ,1972-1975,14,6,3,48,18,16.0,75,64.0,0,0,1,ZIM
JH Hampshire ,1971-1972,3,3,1,48,25,24.0,86,55.81,0,0,0,SA
RJ Harris ,2009-2012,21,13,7,48,21,8.0,48,100.0,0,0,0,SA
Mohammad Irfan ,2010-2016,60,33,21,48,12,4.0,149,32.21,0,0,8,SL
CB Mpofu ,2004-2019,83,40,20,48,6,2.4,202,23.76,0,0,7,ENG
MW Pringle ,1992-1994,17,8,3,48,13,9.6,56,85.71,0,0,1,PAK
PC Strydom ,2000-2000,10,8,3,48,34,9.6,94,51.06,0,0,1,PAK
MG Vandort ,2006-2006,1,1,0,48,48,48.0,117,41.02,0,0,0,CAN
JJ Whitaker ,1987-1987,2,2,1,48,44,48.0,65,73.84,0,0,0,CAN
Zafar Iqbal ,1995-1995,8,6,0,48,18,8.0,62,77.41,0,0,1,UAE
Zulqarnain Haider ,2010-2010,4,4,2,48,19,24.0,68,70.58,0,0,0,SL
A Codrington ,2003-2007,9,8,0,47,16,5.87,92,51.08,0,0,2,SA
FA Dennis ,1979-1979,3,3,0,47,25,15.66,171,27.48,0,0,0,INDIA
Fayyaz Ahmed ,2014-2016,3,3,2,47,37,47.0,100,47.0,0,0,0,NZ
ER Fernando ,1975-1975,3,3,0,47,22,15.66,66,71.21,0,0,0,EAf
L Ngidi ,2018-2019,22,9,6,47,19,15.66,66,71.21,0,0,0,INDIA
Sarandeep Singh ,2002-2003,5,4,1,47,19,15.66,73,64.38,0,0,0,ZIM
BGK Walker ,2000-2002,11,7,4,47,16,15.66,79,59.49,0,0,0,INDIA
Jawahir Shah ,1975-1975,3,3,0,46,37,15.33,114,40.35,0,0,0,AUS
KK Nair ,2016-2016,2,2,0,46,39,23.0,88,52.27,0,0,0,HKG
J Nyumbu ,2014-2015,19,14,4,46,18,4.6,89,51.68,0,0,3,SCOT
PP Ojha ,2008-2012,18,10,8,46,16,23.0,112,41.07,0,0,0,PAK
IR Redpath ,1971-1975,5,5,0,46,24,9.2,67,68.65,0,0,1,NAM
Skhawat Ali ,2008-2014,4,4,0,46,28,11.5,109,42.2,0,0,1,WI
TB Sole ,2018-2019,10,7,1,46,20,7.66,43,106.97,0,0,0,AUS
Azeem Hafeez ,1983-1985,15,10,7,45,15,15.0,104,43.26,0,0,1,CAN
M Karg ,2003-2003,3,2,0,45,41,22.5,65,69.23,0,0,0,NZ
DA Murray ,1973-1981,10,7,2,45,35,9.0,140,32.14,0,0,1,NZ
GR Robertson ,1994-1998,13,7,4,45,15,15.0,55,81.81,0,0,0,CAN
S Thuraisingam ,2003-2008,10,9,2,45,13,6.42,108,41.66,0,0,1,BDESH
PJ Wiseman ,1998-2003,15,7,5,45,16,22.5,83,54.21,0,0,0,INDIA
VR Brown ,1988-1988,3,3,0,44,32,14.66,85,51.76,0,0,0,IRE
NA de Groot ,2003-2003,6,6,0,44,17,7.33,127,34.64,0,0,3,WI
Golam Faruq ,1986-1990,5,4,2,44,23,22.0,104,42.3,0,0,0,UAE
AV Mankad ,1974-1974,1,1,0,44,44,44.0,61,72.13,0,0,0,INDIA
RD McCann ,2010-2010,8,5,1,44,18,11.0,77,57.14,0,0,1,SCOT
BP Patterson ,1986-1993,59,20,15,44,13,8.8,101,43.56,0,0,1,WI
RH Poonawala ,1994-1994,2,2,0,44,22,22.0,56,78.57,0,0,0,BDESH
S Sreesanth ,2005-2011,53,21,10,44,10,4.0,121,36.36,0,0,3,SL
JH Stander ,2009-2012,5,5,1,44,22,11.0,75,58.66,0,0,1,INDIA
HR Bryan ,1999-1999,15,8,2,43,11,7.16,71,60.56,0,0,1,INDIA
Faisal Hossain ,2004-2010,6,5,1,43,17,10.75,91,47.25,0,0,1,UAE
KHRK Fernando ,2002-2006,7,5,3,43,23,21.5,72,59.72,0,0,0,ENG
AR Kapoor ,1995-2000,17,6,0,43,19,7.16,63,68.25,0,0,3,ENG
A Mishra ,2003-2016,36,11,3,43,14,5.37,82,52.43,0,0,2,NAM
Salman Faris ,2014-2014,3,3,0,43,27,14.33,79,54.43,0,0,1,BDESH
WN Slack ,1986-1986,2,2,0,43,34,21.5,85,50.58,0,0,0,PAK
GB Stevenson ,1980-1981,4,4,3,43,28,43.0,56,76.78,0,0,0,IRE
SJ Swanepoel ,2003-2003,5,5,0,43,23,8.6,94,45.74,0,0,0,AUS
Anwar Hossain ,2002-2002,1,1,0,42,42,42.0,107,39.25,0,0,0,AUS
Azmat Rana ,1978-1978,2,2,1,42,22,42.0,73,57.53,0,0,0,AUS
MJ Fourie ,2007-2008,7,5,3,42,19,21.0,51,82.35,0,0,0,NZ
GJ Gilmour ,1974-1975,5,2,1,42,28,42.0,39,107.69,0,0,0,PAK
JN Maguire ,1983-1984,23,11,5,42,14,7.0,71,59.15,0,0,1,ENG
JL Pattinson ,2011-2015,15,8,4,42,13,10.5,80,52.5,0,0,0,CAN
MH Richardson ,2002-2002,4,4,0,42,26,10.5,97,43.29,0,0,1,NZ
Shaheen Shah Afridi ,2018-2019,19,8,6,42,19,21.0,64,65.62,0,0,1,EAf
JS Foster ,2001-2002,11,6,3,41,13,13.66,71,57.74,0,0,0,INDIA
SP Heaney ,2006-2006,4,4,0,41,19,10.25,92,44.56,0,0,0,PAK
PA Hitchcock ,2002-2008,14,7,3,41,11,10.25,61,67.21,0,0,1,BDESH
Mehmood Quaraishy ,1975-1975,3,3,1,41,19,20.5,154,26.62,0,0,0,CAN
WP Saha ,2010-2014,9,5,2,41,16,13.66,56,73.21,0,0,0,PAK
Shafiq Ahmed ,1977-1978,3,3,0,41,29,13.66,91,45.05,0,0,0,IRE
Taskin Ahmed ,2014-2017,32,16,6,41,14,4.1,99,41.41,0,0,3,NZ
SR Welsh ,2006-2008,3,3,1,41,32,20.5,78,52.56,0,0,0,AFG
Bilal Asif ,2015-2015,3,3,0,40,38,13.33,49,81.63,0,0,1,NEPAL
PC Connell ,2008-2010,13,5,3,40,22,20.0,73,54.79,0,0,1,ZIM
DR Hadlee ,1973-1976,11,7,2,40,20,8.0,85,47.05,0,0,3,OMAN
Khaliq Dad ,2009-2010,6,4,1,40,20,13.33,69,57.97,0,0,1,KENYA
S Lamichhane ,2018-2019,6,5,1,40,15,10.0,69,57.97,0,0,0,AUS
PS Masvaure ,2018-2018,2,2,0,40,39,20.0,60,66.66,0,0,0,NL
Mohammad Nadeem ,2019-2019,4,3,1,40,29,20.0,89,44.94,0,0,0,AUS
ML Patel ,2004-2006,3,3,0,40,25,13.33,95,42.1,0,0,1,ZIM
SJ Rixon ,1978-1985,6,6,3,40,20,13.33,98,40.81,0,0,1,INDIA
DJ ter Braak ,2018-2018,2,2,0,40,39,20.0,94,42.55,0,0,0,INDIA
MR Whitney ,1983-1993,38,13,7,40,9,6.66,90,44.44,0,0,1,SL
GA Briant ,1993-1993,5,5,2,39,16,13.0,69,56.52,0,0,1,AUS
YS Chahal ,2016-2019,50,8,3,39,18,7.8,72,54.16,0,0,1,PAK
SS Das ,2001-2002,4,4,1,39,30,13.0,77,50.64,0,0,0,WI
KSC de Silva ,1996-2000,38,19,13,39,13,6.5,92,42.39,0,0,4,NL
DR Gilbert ,1986-1986,14,8,3,39,8,7.8,102,38.23,0,0,0,ENG
Iqbal Qasim ,1977-1988,15,7,1,39,13,6.5,90,43.33,0,0,2,AUS
BA King ,2019-2019,1,1,0,39,39,39.0,56,69.64,0,0,0,AUS
N Kruger ,2011-2011,2,2,0,39,34,19.5,75,52.0,0,0,0,UAE
GD Lloyd ,1996-1998,6,5,1,39,22,9.75,80,48.75,0,0,2,NL
TBA May ,1987-1995,47,12,8,39,15,9.75,52,75.0,0,0,0,ENG
LS Pascoe ,1977-1982,29,11,7,39,15,9.75,102,38.23,0,0,2,INDIA
Ramveer Rai ,2004-2004,1,1,0,39,39,39.0,124,31.45,0,0,0,EAf
RH Scholte ,2002-2003,5,5,0,39,12,7.8,135,28.88,0,0,0,ENG
A Shahzad ,2010-2011,11,8,2,39,9,6.5,60,65.0,0,0,0,CAN
SN Thakur ,2017-2019,7,3,2,39,22,39.0,22,177.27,0,0,1,INDIA
Zulfiqar Ali ,1975-1975,3,3,1,39,30,19.5,76,51.31,0,0,0,SL
JT Ball ,2016-2018,18,6,2,38,28,9.5,49,77.55,0,0,2,ENG
CJD Chappell ,1979-1979,3,3,0,38,19,12.66,143,26.57,0,0,0,UAE
PP Chawla ,2007-2011,25,12,5,38,13,5.42,58,65.51,0,0,1,ZIM
CKB Kulasekara ,2011-2012,4,3,0,38,19,12.66,72,52.77,0,0,1,INDIA
PJ Martin ,1995-1998,20,13,7,38,6,6.33,53,71.69,0,0,0,HKG
Mohammad Aslam ,1996-1996,4,4,0,38,23,9.5,73,52.05,0,0,0,BMUDA
N M'shangwe ,2011-2014,6,6,1,38,16,7.6,45,84.44,0,0,1,USA
SS Naik ,1974-1974,2,2,0,38,20,19.0,68,55.88,0,0,0,EAf
Najeeb Amar ,2004-2008,4,4,1,38,21,12.66,64,59.37,0,0,1,NZ
GH O'Brien ,2006-2008,9,7,0,38,16,5.42,54,70.37,0,0,2,OMAN
CAH Stevenson ,2019-2019,4,4,1,38,34,12.66,44,86.36,0,0,1,AUS
S Walusimbi ,1975-1975,3,3,0,38,16,12.66,126,30.15,0,0,0,ZIM
PN Webb ,1983-1984,5,5,1,38,10,9.5,101,37.62,0,0,0,ZIM
Zeeshan Maqsood ,2019-2019,5,5,1,38,21,9.5,74,51.35,0,0,1,BDESH
